Year,Series,Sex,Type of tenure,Province,Units,Progress,Value
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,59.1,40.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,,62.0
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,63.2,36.8
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,,58.3
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,,53.0
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,62.9,37.1
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,,57.1
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,,52.1
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,64.5,35.5
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,,40.8
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,68.9,31.1
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,63.0,37.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,64.4,35.6
2020,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,67.1,32.9
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,59.6,40.4
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,64.9,35.1
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,60.9,39.1
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Araba/Álava,%,69.3,30.7
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Araba/Álava,%,75.8,24.2
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Bizkaia,%,61.0,39.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Bizkaia,%,58.2,41.8
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Gipuzkoa,%,62.0,38.0
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Gipuzkoa,%,67.5,32.5
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,73.4,26.6
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,73.6,26.4
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,70.2,29.8
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,69.0,31.0
2020,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,74.2,25.8
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Araba/Álava,%,76.8,23.2
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Araba/Álava,%,86.0,14.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Bizkaia,%,60.0,40.0
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Bizkaia,%,69.4,30.6
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Gipuzkoa,%,76.9,23.1
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Gipuzkoa,%,73.8,26.2
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,,58.9
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,,55.8
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,,45.1
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,,53.4
2020,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,,49.0
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Araba/Álava,%,,48.8
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Araba/Álava,%,,43.4
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Araba/Álava,%,,56.7
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Araba/Álava,%,,50.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Bizkaia,%,,62.8
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Bizkaia,%,,60.6
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Bizkaia,%,,57.1
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Bizkaia,%,,52.4
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,,57.5
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,,53.2
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,,39.1
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,,49.6
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,,56.7
2020,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,,47.5
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,,53.9
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,,42.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,,50.7
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,,42.6
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,,48.5
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,,49.2
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,,45.6
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,,39.8
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,,61.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,,52.9
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,,57.1
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,,56.9
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,,52.8
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,,41.8
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,,53.4
