Year,Series,Sexua,Edukitza-mota,Lurralde historikoa,Units,Progress,Value
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,,,Gipuzkoa,%,,40.8
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,,Gipuzkoa,%,68.9,31.1
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,,Gipuzkoa,%,63.0,37.0
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,,%,64.4,35.6
2020,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,,%,67.1,32.9
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,,%,59.6,40.4
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,,%,64.9,35.1
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,,%,60.9,39.1
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,Araba / Álava,%,69.3,30.7
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,Araba / Álava,%,75.8,24.2
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,Bizkaia,%,61.0,39.0
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,Bizkaia,%,58.2,41.8
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,Gipuzkoa,%,62.0,38.0
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Jabetzan,Gipuzkoa,%,67.5,32.5
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,,%,73.4,26.6
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,,%,73.6,26.4
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,,%,70.2,29.8
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,,%,69.0,31.0
2020,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,,%,74.2,25.8
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,Araba / Álava,%,76.8,23.2
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,Araba / Álava,%,86.0,14.0
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,Bizkaia,%,60.0,40.0
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,Bizkaia,%,69.4,30.6
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,Gipuzkoa,%,76.9,23.1
2023,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",,Errentamenduan,Gipuzkoa,%,73.8,26.2
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,,%,,58.9
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,,%,,55.8
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,,%,,45.1
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,,%,,53.4
2020,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,,%,,49.0
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Araba / Álava,%,,48.8
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Araba / Álava,%,,43.4
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Araba / Álava,%,,56.7
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Araba / Álava,%,,50.9
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Bizkaia,%,,62.8
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Bizkaia,%,,60.6
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Bizkaia,%,,57.1
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Bizkaia,%,,52.4
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Gipuzkoa,%,,57.5
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Gipuzkoa,%,,53.2
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Gipuzkoa,%,,39.1
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Gipuzkoa,%,,49.6
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,%,,56.7
2020,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,%,,47.5
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,%,,53.9
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,%,,42.4
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,%,,50.7
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,%,,42.6
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,%,,48.5
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,%,,49.2
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,%,,45.6
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,%,,39.8
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,%,,61.4
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,%,,52.9
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,%,,57.1
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,%,,56.9
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,%,,52.8
2023,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,%,,41.8
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,%,,53.4
